자치구,안심 주소,용도,위도,경도,수량,데이터기준일자
양천구,서울특별시 양천구 신정동 목동남로 72 ,방범,37.5104666,126.8673616,3,2021-01-29
양천구,서울특별시 양천구 신정동 신정로13길 11 열방사회복지관,방범,37.5106,126.8433,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동로 17 ,방범,37.510688,126.870681,3,2021-01-29
양천구,신정동 1283,방범,37.51069241,126.8365179,5,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로4길 81 목동2차삼성래미안아파트,방범,37.51093236,126.8682508,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로 87 ,방범,37.51116,126.8686,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로 87 ,방범,37.511314,126.868639,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동남로 85 은정초등학교,방범,37.51189685,126.8676984,2,2021-01-29
양천구,신정동 327,방범,37.512149,126.864534,4,2021-01-29
양천구,서울특별시 양천구 신정동 신정로7길 75 이든채,방범,37.51316,126.83485,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로86길 6 ,방범,37.513866,126.840576,4,2021-01-29
양천구,신정동 330-2,방범,37.514041,126.874238,4,2021-01-29
양천구,신정동 331,방범,37.5141,126.87619,3,2021-01-29
양천구,신정동 871-37,방범,37.5141447,126.8767119,4,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로 604 ,방범,37.514347,126.840227,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로10길 30 삼동아파트,방범,37.514503,126.841423,5,2021-01-29
양천구,서울특별시 양천구 신정동 신정이펜1로 92 새금성교회,방범,37.5146106,126.828275,2,2021-01-29
양천구,신월동 567-1,방범,37.51467,126.84312,2,2021-01-29
양천구,서울특별시 양천구 신월동 신월로10길 30 삼동아파트,방범,37.514674,126.841974,3,2021-01-29
양천구,신정동 327,방범,37.514907,126.866714,3,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로80길 15 ,방범,37.51514,126.83793,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 110 ,방범,37.51523,126.83697,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로25길 48 ,방범,37.51526,126.84886,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로25길 16 ,방범,37.515398,126.851237,4,2021-01-29
양천구,신월동 590-21,방범,37.51542,126.84612,2,2021-01-29
양천구,서울특별시 양천구 신정동 목동동로 55 밀레니엄 프라자,방범,37.515514,126.86103,5,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로85길 22 ,방범,37.51555,126.84478,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로 594 ,방범,37.5156327,126.83913,3,2021-01-29
양천구,신정동 1278-1,방범,37.515706,126.876349,3,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로80길 13 ,방범,37.51578,126.838943,3,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로80길 15 ,방범,37.5158,126.83715,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로25길 30 국제아트빌,방범,37.51592,126.850159,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로25길 16 ,방범,37.51594597,126.8514747,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로25길 48 ,방범,37.515959,126.848562,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동서로 375 ,방범,37.51609776,126.8628641,5,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로25길 38 ,방범,37.51611,126.8494,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로27길 21 ,방범,37.516373,126.851954,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29가길 1 ,방범,37.516377,126.850607,1,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29가길 1 ,방범,37.5164145,126.8502586,1,2021-01-29
양천구,서울특별시 양천구 신정동 목동동로8길 31 ,방범,37.51646,126.87252,3,2021-01-29
양천구,서울특별시 양천구 신정동 목동서로 363 양천생활안전체험교육관,방범,37.516528,126.863596,5,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29가길 1 ,방범,37.516578,126.850908,4,2021-01-29
양천구,서울특별시 양천구 신정동 목동서로 375 ,방범,37.516624,126.862953,1,2021-01-29
양천구,서울특별시 양천구 신정동 목동동로 100 목동신시가지아파트13단지,방범,37.51664,126.86659,1,2021-01-29
양천구,신정동 328,방범,37.51665,126.86727,1,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로 222 ,방범,37.516685,126.855262,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로25길 38 ,방범,37.5166985,126.8494377,2,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로 584 ,방범,37.516823,126.839215,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 109 ,방범,37.516893,126.836591,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로 218 뉴목동아파트,방범,37.516998,126.85498,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 156 ,방범,37.517032,126.841537,5,2021-01-29
양천구,서울특별시 양천구 신정동 신목로5길 9 대림아파트,방범,37.51707,126.872057,1,2021-01-29
양천구,신정동 311-3,방범,37.517102,126.857064,3,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29가길 15 ,방범,37.517236,126.8492,4,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로 571 ,방범,37.5173773,126.839702,2,2021-01-29
양천구,서울특별시 양천구 신정동 목동서로 339 양천보건소,방범,37.51740824,126.8658337,5,2021-01-29
양천구,신월동 45-16,방범,37.517454,126.831269,1,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로79길 21 ,방범,37.51755,126.84268,4,2021-01-29
양천구,서울특별시 양천구 신정동 중앙로29가길 7 ,방범,37.51762,126.85003,3,2021-01-29
양천구,서울특별시 양천구 신월동 신월로 156 ,방범,37.517805,126.841684,3,2021-01-29
양천구,서울특별시 양천구 신정동 신목로 9 쌍용아파트,방범,37.517855,126.875955,3,2021-01-29
양천구,서울특별시 양천구 신월동 남부순환로83길 48 목동 센트럴 아이파크 위브 3단지,방범,37.517955,126.845941,4,2021-01-29
